poi_id,destination_id,name,category,lat,lon,avg_visit_minutes,price_level,popularity_score,description,open_hour,close_hour
POI0827,PRG,Obchodní centrum Letňany,shopping,50.135836,14.501631,60,1,4.1,"Obchodní centrum Letňany is a shopping mall in Prague, Czech Republic.",9,21
POI0828,PRG,ARCHA+,culture,50.089508,14.434176,90,1,4.1,"ARCHA+ is a cultural venue in Prague, Czech Republic.",9,20
POI0829,PRG,park Holubička,nature,50.091929,14.408977,90,0,4.1,"park Holubička is a park in Prague, Czech Republic.",0,24
POI0830,PRG,Euphoria Music Club,nightlife,50.098618,14.442915,120,1,4.1,"Euphoria Music Club is a tenement in Czech Republic, in Prague.",21,1
POI0831,PRG,Momento Vestibul,food,50.052628,14.472771,60,1,4.0,A well-regarded food destination in Prague.,10,23
POI0832,PRG,Památník národního písemnictví,museum,50.086643,14.390086,120,1,4.1,"Památník národního písemnictví is a literary museum in Prague, Czech Republic.",9,18
POI0833,PRG,2. zastavení,landmark,50.084096,14.394919,60,1,4.0,"2. zastavení is a chapel in Czech Republic, in Prague.",8,20
POI0834,PRG,Karel Hynek Mácha,history,50.081602,14.401927,60,0,4.1,"Karel Hynek Mácha is a statue in Malá Strana, Czech Republic, in Prague.",8,19
POI0835,PRG,Farní sbor ČCE v Praze 10 - Strašnicích,religion,50.075484,14.490369,30,0,4.1,"Farní sbor ČCE v Praze 10 - Strašnicích is a Parish of Evangelical Church of Czech Brethren, in Prague.",7,19
POI0836,PRG,Bílá labuť,shopping,50.090302,14.43377,60,1,4.1,"Bílá labuť is a shopping mall in Prague, Czech Republic.",9,20
POI0837,PRG,Hudební divadlo Karlín,culture,50.090122,14.441241,90,1,4.2,"Hudební divadlo Karlín is a musical and operetta theatre in Prague, Czech Republic.",9,20
POI0838,PRG,Klášterní zahrada,nature,50.086159,14.356383,90,0,4.1,"Klášterní zahrada is a garden in Břevnov, Czech Republic, in Prague.",0,24
POI0839,PRG,U Vávrů,nightlife,50.076368,14.437673,120,1,4.0,U Vávrů is a building in Prague.,11,22
POI0840,PRG,Farmářské trhy na Kulaťáku,food,50.101661,14.393436,60,1,4.0,A well-regarded food destination in Prague.,8,14
POI0841,PRG,Museum Kampa,museum,50.083999,14.408491,120,1,4.3,Museum Kampa is a museum in Prague.,10,18
POI0842,PRG,3. zastavení,landmark,50.084006,14.395268,60,1,4.0,"3. zastavení is a chapel in Czech Republic, in Prague.",8,20
POI0843,PRG,Vítězslav Novák,history,50.082128,14.401492,60,0,4.0,"Vítězslav Novák is a statue in Malá Strana, Czech Republic, in Prague.",8,19
POI0844,PRG,svatý Florián,religion,50.086179,14.363549,30,0,4.1,A historic place of worship in Prague.,7,19
POI0845,PRG,Quadrio,shopping,50.081505,14.420126,60,1,4.1,Quadrio is an office building complex in Prague.,7,21
POI0846,PRG,Alfred ve dvoře,culture,50.101185,14.430472,90,1,4.1,"Alfred ve dvoře is a theatre in Prague, Czech Republic.",9,20
POI0847,PRG,park Willyho Brandta,nature,50.105191,14.401425,90,0,4.0,"park Willyho Brandta is a street in Prague, Czech Republic.",0,24
POI0848,PRG,Marina Pivovar,nightlife,50.106179,14.456532,120,1,4.0,"Marina Pivovar is a microbrewery in Prague, Czech Republic.",18,2
POI0849,PRG,Náměstí Republiky,food,50.088109,14.429415,60,1,4.0,A well-regarded food destination in Prague.,10,23
POI0850,PRG,Muzeum Bedřicha Smetany,museum,50.085613,14.412925,120,1,4.3,Muzeum Bedřicha Smetany is a museum in Prague.,10,17
POI0851,PRG,4. zastavení,landmark,50.083912,14.395637,60,1,4.0,"4. zastavení is a chapel in Czech Republic, in Prague.",8,20
POI0852,PRG,Johannes Kepler a Tycho Brahe,history,50.087982,14.387911,60,0,4.0,Johannes Kepler a Tycho Brahe is a statue in Prague.,8,19
POI0853,PRG,svatý Kříž,religion,50.071327,14.426761,30,0,4.1,"svatý Kříž is a chapel in Czech Republic, in Prague.",7,19
POI0854,PRG,Slovanský dům,shopping,50.085964,14.427757,60,1,4.1,Slovanský dům is a building in Prague.,8,0
POI0855,PRG,Divadlo pod Palmovkou,culture,50.105468,14.473096,90,1,4.1,"Divadlo pod Palmovkou is a theatre in Prague, Czech Republic.",9,20
POI0856,PRG,Heroldovy sady,nature,50.070442,14.453491,90,0,4.0,"Heroldovy sady is a park in Prague, Czech Republic.",0,24
POI0857,PRG,separé,nightlife,50.08095,14.41819,120,1,4.0,A lively nightlife spot in Prague.,17,0
POI0858,PRG,MINT: Weekend Market,food,50.099015,14.446931,60,1,4.0,A well-regarded food destination in Prague.,9,18
POI0859,PRG,Chlupáčovo muzeum historie Země,museum,50.068753,14.424277,120,1,4.1,"Chlupáčovo muzeum historie Země is a museum in Czech Republic, in Prague.",8,12
POI0860,PRG,5. zastavení,landmark,50.083755,14.396264,60,1,4.0,"5. zastavení is a chapel in Czech Republic, in Prague.",8,20
POI0861,PRG,Rabíndranáth Thákur,history,50.100674,14.387469,60,0,4.0,"Rabíndranáth Thákur is a monument in Dejvice, Czech Republic, in Prague.",8,19
POI0862,PRG,Husův sbor,religion,50.097608,14.396959,30,0,4.1,"Husův sbor is a church building in Dejvice, Czech Republic, in Prague.",7,19
POI0863,PRG,Arkády Pankrác,shopping,50.050892,14.437965,60,1,4.1,"Arkády Pankrác is a shopping mall in Prague, Czech Republic.",9,21
POI0864,PRG,Branické divadlo,culture,50.035825,14.413852,90,1,4.1,"Branické divadlo is a theatre in Prague, Czech Republic.",9,20
POI0865,PRG,Růžový sad,nature,50.081537,14.396518,90,0,4.1,A green space in Prague.,0,24
POI0866,PRG,Irony vs. Satyr Bar,nightlife,50.091287,14.43112,120,1,4.0,A lively nightlife spot in Prague.,16,2
POI0867,PRG,Foodcourt,food,50.136618,14.502204,60,1,4.0,A well-regarded food destination in Prague.,9,21
POI0868,PRG,Muzeum Karlova mostu,museum,50.086511,14.413927,120,1,4.1,A notable museum in Prague.,10,19
